country,year,population
Antigua and Barbuda,Y2003,80904
Antigua and Barbuda,Y2004,81718
Antigua and Barbuda,Y2005,82565
Antigua and Barbuda,Y2006,83467
Antigua and Barbuda,Y2007,84397
Antigua and Barbuda,Y2008,85349
Antigua and Barbuda,Y2009,86300
Antigua and Barbuda,Y2010,87233
Antigua and Barbuda,Y2011,88152
Antigua and Barbuda,Y2012,89069
Antigua and Barbuda,Y2013,89985
Argentina,Y1995,34833168
Argentina,Y1996,35264070
Argentina,Y1997,35690778
Argentina,Y1998,36109342
Argentina,Y1999,36514558
Argentina,Y2000,36903067
Argentina,Y2001,37273361
Argentina,Y2002,37627545
Argentina,Y2003,37970411
Argentina,Y2004,38308779
Argentina,Y2005,38647854
Argentina,Y2006,38988923
Argentina,Y2007,39331357
Argentina,Y2008,39676083
Argentina,Y2009,40023641
Argentina,Y2010,40374224
Argentina,Y2011,40728738
Argentina,Y2012,41086927
Argentina,Y2013,41446246
Armenia,Y1995,3223173
Armenia,Y1996,3173425
Armenia,Y1997,3137652
Armenia,Y1998,3112958
Armenia,Y1999,3093820
Armenia,Y2000,3076098
Armenia,Y2001,3059960
Armenia,Y2002,3047002
Armenia,Y2003,3036032
Armenia,Y2004,3025652
Armenia,Y2005,3014917
Armenia,Y2006,3002911
Armenia,Y2007,2989882
Armenia,Y2008,2977488
Armenia,Y2009,2968154
Armenia,Y2010,2963496
Armenia,Y2011,2964120
Armenia,Y2012,2969081
Armenia,Y2013,2976566
Aruba,Y1995,80326
Aruba,Y1996,83195
Aruba,Y1997,85447
Aruba,Y1998,87276
Aruba,Y1999,89004
Aruba,Y2000,90858
Aruba,Y2001,92894
Aruba,Y2002,94995
Aruba,Y2003,97015
Aruba,Y2004,98742
Aruba,Y2005,100031
Aruba,Y2006,100830
Aruba,Y2007,101219
Aruba,Y2008,101344
Aruba,Y2009,101418
Aruba,Y2010,101597
Aruba,Y2011,101932
Aruba,Y2012,102384
Aruba,Y2013,102911
Australia,Y1995,18124234
Australia,Y1996,18339037
Australia,Y1997,18563442
Australia,Y1998,18794552
Australia,Y1999,19027438
Australia,Y2000,19259377
Australia,Y2001,19487257
Australia,Y2002,19714625
Australia,Y2003,19953121
Australia,Y2004,20218481
Australia,Y2005,20520736
Australia,Y2006,20865583
Australia,Y2007,21246274
Australia,Y2008,21645095
Australia,Y2009,22037143
Australia,Y2010,22404488
Australia,Y2011,22740536
Australia,Y2012,23050471
Australia,Y2013,23342553
Austria,Y1995,7985372
Austria,Y1996,8009345
Austria,Y1997,8014124
Austria,Y1998,8009051
Austria,Y1999,8007843
Austria,Y2000,8020262
Austria,Y2001,8049440
Austria,Y2002,8091804
Austria,Y2003,8142322
Austria,Y2004,8193157
Austria,Y2005,8238604
Austria,Y2006,8277393
Austria,Y2007,8311463
Austria,Y2008,8342129
Austria,Y2009,8371711
Austria,Y2010,8401924
Austria,Y2011,8432890
Austria,Y2012,8463948
Austria,Y2013,8495145
Azerbaijan,Y1995,7770806
Azerbaijan,Y1996,7852273
Azerbaijan,Y1997,7921745
Azerbaijan,Y1998,7984460
Azerbaijan,Y1999,8047936
Azerbaijan,Y2000,8117742
Azerbaijan,Y2001,8195427
Azerbaijan,Y2002,8279768
Azerbaijan,Y2003,8370169
Azerbaijan,Y2004,8465127
Azerbaijan,Y2005,8563398
Azerbaijan,Y2006,8665006
Azerbaijan,Y2007,8770122
Azerbaijan,Y2008,8877669
Azerbaijan,Y2009,8986266
Azerbaijan,Y2010,9094718
Azerbaijan,Y2011,9202432
Azerbaijan,Y2012,9308959
Azerbaijan,Y2013,9413420
Bahamas,Y1995,280050
Bahamas,Y1996,283678
Bahamas,Y1997,286845
Bahamas,Y1998,289926
Bahamas,Y1999,293442
Bahamas,Y2000,297759
Bahamas,Y2001,303005
Bahamas,Y2002,309039
Bahamas,Y2003,315624
Bahamas,Y2004,322400
Bahamas,Y2005,329088
Bahamas,Y2006,335622
Bahamas,Y2007,342049
Bahamas,Y2008,348340
Bahamas,Y2009,354492
Bahamas,Y2010,360498
Bahamas,Y2011,366331
Bahamas,Y2012,371960
Bahamas,Y2013,377374
Bahrain,Y1995,563730
Bahrain,Y1996,579697
Bahrain,Y1997,597400
Bahrain,Y1998,617537
Bahrain,Y1999,640913
Bahrain,Y2000,668239
Bahrain,Y2001,698749
Bahrain,Y2002,732541
Bahrain,Y2003,772058
Bahrain,Y2004,820505
Bahrain,Y2005,879534
Bahrain,Y2006,950951
Bahrain,Y2007,1032353
Bahrain,Y2008,1116038
Bahrain,Y2009,1191539
Bahrain,Y2010,1251513
Bahrain,Y2011,1292764
Bahrain,Y2012,1317827
Bahrain,Y2013,1332171
Bangladesh,Y1995,119869585
Bangladesh,Y1996,122400896
Bangladesh,Y1997,124945315
Bangladesh,Y1998,127478524
Bangladesh,Y1999,129966823
Bangladesh,Y2000,132383265
Bangladesh,Y2001,134729503
Bangladesh,Y2002,137006279
Bangladesh,Y2003,139185986
Bangladesh,Y2004,141235035
Bangladesh,Y2005,143135180
Bangladesh,Y2006,144868702
Bangladesh,Y2007,146457067
Bangladesh,Y2008,147969967
Bangladesh,Y2009,149503100
Bangladesh,Y2010,151125475
Bangladesh,Y2011,152862431
Bangladesh,Y2012,154695368
Bangladesh,Y2013,156594962
Barbados,Y1995,263165
Barbados,Y1996,263884
Barbados,Y1997,264606
Barbados,Y1998,265370
Barbados,Y1999,266220
Barbados,Y2000,267190
Barbados,Y2001,268296
Barbados,Y2002,269524
Barbados,Y2003,270844
Barbados,Y2004,272205
Barbados,Y2005,273568
Barbados,Y2006,274923
Barbados,Y2007,276277
Barbados,Y2008,277634
Barbados,Y2009,279006
Barbados,Y2010,280396
Barbados,Y2011,281804
Barbados,Y2012,283221
Barbados,Y2013,284644
Belarus,Y1995,10189075
Belarus,Y1996,10156258
Belarus,Y1997,10120556
Belarus,Y1998,10080772
Belarus,Y1999,10034775
Belarus,Y2000,9981460
Belarus,Y2001,9920173
Belarus,Y2002,9852866
Belarus,Y2003,9784111
Belarus,Y2004,9719991
Belarus,Y2005,9664714
Belarus,Y2006,9620359
Belarus,Y2007,9585368
Belarus,Y2008,9555801
Belarus,Y2009,9525785
Belarus,Y2010,9491070
Belarus,Y2011,9450391
Belarus,Y2012,9405097
Belarus,Y2013,9356678
Belgium,Y1995,10161914
Belgium,Y1996,10186767
Belgium,Y1997,10205970
Belgium,Y1998,10222896
Belgium,Y1999,10242449
Belgium,Y2000,10268380
Belgium,Y2001,10300775
Belgium,Y2002,10338969
Belgium,Y2003,10384953
Belgium,Y2004,10440977
Belgium,Y2005,10508080
Belgium,Y2006,10587731
Belgium,Y2007,10678058
Belgium,Y2008,10772572
Belgium,Y2009,10862441
Belgium,Y2010,10941288
Belgium,Y2011,11006632
Belgium,Y2012,11060095
Belgium,Y2013,11104476
Belize,Y1995,206962
Belize,Y1996,212375
Belize,Y1997,218484
Belize,Y1998,225083
Belize,Y1999,231860
Belize,Y2000,238586
Belize,Y2001,245198
Belize,Y2002,251766
Belize,Y2003,258346
Belize,Y2004,265040
Belize,Y2005,271920
Belize,Y2006,278985
Belize,Y2007,286196
Belize,Y2008,293544
Belize,Y2009,301016
Belize,Y2010,308595
Belize,Y2011,316280
Belize,Y2012,324060
Belize,Y2013,331900
Benin,Y1995,5985658
Benin,Y1996,6176318
Benin,Y1997,6361301
Benin,Y1998,6546493
Benin,Y1999,6740491
Benin,Y2000,6949366
Benin,Y2001,7174911
Benin,Y2002,7414744
Benin,Y2003,7665681
Benin,Y2004,7922796
Benin,Y2005,8182362
Benin,Y2006,8443671
Benin,Y2007,8707490
Benin,Y2008,8973293
Benin,Y2009,9240783
Benin,Y2010,9509798
Benin,Y2011,9779795
Benin,Y2012,10050702
Benin,Y2013,10323474
Bermuda,Y1995,61407
Bermuda,Y1996,61703
Bermuda,Y1997,61992
Bermuda,Y1998,62276
Bermuda,Y1999,62557
Bermuda,Y2000,62837
Bermuda,Y2001,63116
Bermuda,Y2002,63393
Bermuda,Y2003,63661
Bermuda,Y2004,63911
Bermuda,Y2005,64137
Bermuda,Y2006,64337
Bermuda,Y2007,64512
Bermuda,Y2008,64667
Bermuda,Y2009,64812
Bermuda,Y2010,64951
Bermuda,Y2011,65086
Bermuda,Y2012,65216
Bermuda,Y2013,65341
Bhutan,Y1995,509105
Bhutan,Y1996,512594
Bhutan,Y1997,521146
Bhutan,Y1998,533737
Bhutan,Y1999,548599
Bhutan,Y2000,564350
Bhutan,Y2001,580888
Bhutan,Y2002,598455
Bhutan,Y2003,616383
Bhutan,Y2004,633893
Bhutan,Y2005,650417
Bhutan,Y2006,665568
Bhutan,Y2007,679365
Bhutan,Y2008,692159
Bhutan,Y2009,704542
Bhutan,Y2010,716939
Bhutan,Y2011,729429
Bhutan,Y2012,741822
Bhutan,Y2013,753947
Bolivia (Plurinational State of),Y1995,7635362
Bolivia (Plurinational State of),Y1996,7806953
Bolivia (Plurinational State of),Y1997,7978521
Bolivia (Plurinational State of),Y1998,8150214
Bolivia (Plurinational State of),Y1999,8322408
Bolivia (Plurinational State of),Y2000,8495271
Bolivia (Plurinational State of),Y2001,8669066
Bolivia (Plurinational State of),Y2002,8843350
Bolivia (Plurinational State of),Y2003,9016787
Bolivia (Plurinational State of),Y2004,9187610
Bolivia (Plurinational State of),Y2005,9354709
Bolivia (Plurinational State of),Y2006,9517395
Bolivia (Plurinational State of),Y2007,9676456
Bolivia (Plurinational State of),Y2008,9834098
Bolivia (Plurinational State of),Y2009,9993406
Bolivia (Plurinational State of),Y2010,10156601
Bolivia (Plurinational State of),Y2011,10324445
Bolivia (Plurinational State of),Y2012,10496285
Bolivia (Plurinational State of),Y2013,10671200
"Bonaire, Saint Eustatius and Saba",Y2010,17616
"Bonaire, Saint Eustatius and Saba",Y2011,18194
"Bonaire, Saint Eustatius and Saba",Y2012,18694
"Bonaire, Saint Eustatius and Saba",Y2013,19130
Bosnia and Herzegovina,Y1995,3520996
Bosnia and Herzegovina,Y1996,3485575
Bosnia and Herzegovina,Y1997,3535998
Bosnia and Herzegovina,Y1998,3640821
Bosnia and Herzegovina,Y1999,3752004
Bosnia and Herzegovina,Y2000,3834364
Bosnia and Herzegovina,Y2001,3879353
Bosnia and Herzegovina,Y2002,3897579
Bosnia and Herzegovina,Y2003,3895779
Bosnia and Herzegovina,Y2004,3886723
Bosnia and Herzegovina,Y2005,3879828
Bosnia and Herzegovina,Y2006,3875157
Bosnia and Herzegovina,Y2007,3868665
Bosnia and Herzegovina,Y2008,3861201
Bosnia and Herzegovina,Y2009,3853446
Bosnia and Herzegovina,Y2010,3845929
Bosnia and Herzegovina,Y2011,3839322
Bosnia and Herzegovina,Y2012,3833916
Bosnia and Herzegovina,Y2013,3829307
Botswana,Y1995,1583453
Botswana,Y1996,1620989
Botswana,Y1997,1657349
Botswana,Y1998,1692148
Botswana,Y1999,1724924
Botswana,Y2000,1755375
Botswana,Y2001,1783349
Botswana,Y2002,1808976
Botswana,Y2003,1832602
Botswana,Y2004,1854739
Botswana,Y2005,1875805
Botswana,Y2006,1895944
Botswana,Y2007,1915187
Botswana,Y2008,1933719
Botswana,Y2009,1951715
Botswana,Y2010,1969341
Botswana,Y2011,1986701
Botswana,Y2012,2003910
Botswana,Y2013,2021144
Brazil,Y1995,161890816
Brazil,Y1996,164392423
Brazil,Y1997,166925457
Brazil,Y1998,169472347
Brazil,Y1999,172006362
Brazil,Y2000,174504898
Brazil,Y2001,176968205
Brazil,Y2002,179393768
Brazil,Y2003,181752951
Brazil,Y2004,184010283
Brazil,Y2005,186142403
Brazil,Y2006,188134315
Brazil,Y2007,189996976
Brazil,Y2008,191765567
Brazil,Y2009,193490922
Brazil,Y2010,195210154
Brazil,Y2011,196935134
Brazil,Y2012,198656019
Brazil,Y2013,200361925
British Virgin Islands,Y1995,18425
British Virgin Islands,Y1996,18834
British Virgin Islands,Y1997,19270
British Virgin Islands,Y1998,19726
British Virgin Islands,Y1999,20186
British Virgin Islands,Y2000,20643
British Virgin Islands,Y2001,21084
British Virgin Islands,Y2002,21518
British Virgin Islands,Y2003,21982
British Virgin Islands,Y2004,22522
British Virgin Islands,Y2005,23169
British Virgin Islands,Y2006,23942
British Virgin Islands,Y2007,24815
British Virgin Islands,Y2008,25716
British Virgin Islands,Y2009,26542
British Virgin Islands,Y2010,27223
British Virgin Islands,Y2011,27730
British Virgin Islands,Y2012,28088
British Virgin Islands,Y2013,28341
Brunei Darussalam,Y1995,295003
Brunei Darussalam,Y1996,302511
Brunei Darussalam,Y1997,309904
Brunei Darussalam,Y1998,317214
Brunei Darussalam,Y1999,324501
Brunei Darussalam,Y2000,331801
Brunei Darussalam,Y2001,339114
Brunei Darussalam,Y2002,346407
Brunei Darussalam,Y2003,353649
Brunei Darussalam,Y2004,360797
Brunei Darussalam,Y2005,367815
Brunei Darussalam,Y2006,374697
Brunei Darussalam,Y2007,381440
Brunei Darussalam,Y2008,388017
Brunei Darussalam,Y2009,394400
Brunei Darussalam,Y2010,400569
Brunei Darussalam,Y2011,406512
Brunei Darussalam,Y2012,412238
Brunei Darussalam,Y2013,417784
Bulgaria,Y1995,8358116
Bulgaria,Y1996,8274592
Bulgaria,Y1997,8199715
Bulgaria,Y1998,8131424
Bulgaria,Y1999,8065947
Bulgaria,Y2000,8000510
Bulgaria,Y2001,7934973
Bulgaria,Y2002,7870488
Bulgaria,Y2003,7806995
Bulgaria,Y2004,7744575
Bulgaria,Y2005,7683264
Bulgaria,Y2006,7622852
Bulgaria,Y2007,7563141
Bulgaria,Y2008,7504206
Bulgaria,Y2009,7446197
Bulgaria,Y2010,7389175
Bulgaria,Y2011,7333122
Bulgaria,Y2012,7277831
Bulgaria,Y2013,7222943
Burkina Faso,Y1995,10089876
Burkina Faso,Y1996,10372562
Burkina Faso,Y1997,10664982
Burkina Faso,Y1998,10967836
Burkina Faso,Y1999,11281942
Burkina Faso,Y2000,11607944
Burkina Faso,Y2001,11946080
Burkina Faso,Y2002,12296399
Burkina Faso,Y2003,12659086
Burkina Faso,Y2004,13034258
Burkina Faso,Y2005,13421929
Burkina Faso,Y2006,13822257
Burkina Faso,Y2007,14235075
Burkina Faso,Y2008,14659646
Burkina Faso,Y2009,15094967
Burkina Faso,Y2010,15540284
Burkina Faso,Y2011,15995313
Burkina Faso,Y2012,16460141
Burkina Faso,Y2013,16934839
Burundi,Y1995,6209923
Burundi,Y1996,6294482
Burundi,Y1997,6369573
Burundi,Y1998,6447672
Burundi,Y1999,6545273
Burundi,Y2000,6674286
Burundi,Y2001,6839376
Burundi,Y2002,7037727
Burundi,Y2003,7264340
Burundi,Y2004,7510771
Burundi,Y2005,7770392
Burundi,Y2006,8042579
Burundi,Y2007,8328312
Burundi,Y2008,8624280
Burundi,Y2009,8926687
Burundi,Y2010,9232753
Burundi,Y2011,9540362
Burundi,Y2012,9849569
Burundi,Y2013,10162532
Cabo Verde,Y1995,399477
Cabo Verde,Y1996,408790
Cabo Verde,Y1997,417562
Cabo Verde,Y1998,425932
Cabo Verde,Y1999,434168
Cabo Verde,Y2000,442426
Cabo Verde,Y2001,450812
Cabo Verde,Y2002,459140
Cabo Verde,Y2003,466939
Cabo Verde,Y2004,473577
Cabo Verde,Y2005,478651
Cabo Verde,Y2006,481940
Cabo Verde,Y2007,483713
Cabo Verde,Y2008,484651
Cabo Verde,Y2009,485714
Cabo Verde,Y2010,487601
Cabo Verde,Y2011,490556
Cabo Verde,Y2012,494401
Cabo Verde,Y2013,498897
Cambodia,Y1995,10769198
Cambodia,Y1996,11090611
Cambodia,Y1997,11395958
Cambodia,Y1998,11685332
Cambodia,Y1999,11960467
Cambodia,Y2000,12222871
Cambodia,Y2001,12472586
Cambodia,Y2002,12709336
Cambodia,Y2003,12934369
Cambodia,Y2004,13149386
Cambodia,Y2005,13356424
Cambodia,Y2006,13555054
Cambodia,Y2007,13747288
Cambodia,Y2008,13940518
Cambodia,Y2009,14144225
Cambodia,Y2010,14364931
Cambodia,Y2011,14605862
Cambodia,Y2012,14864646
Cambodia,Y2013,15135169
Cameroon,Y1995,13929575
Cameroon,Y1996,14316949
Cameroon,Y1997,14709426
Cameroon,Y1998,15107909
Cameroon,Y1999,15513653
Cameroon,Y2000,15927713
Cameroon,Y2001,16350440
Cameroon,Y2002,16782044
Cameroon,Y2003,17223277
Cameroon,Y2004,17674960
Cameroon,Y2005,18137734
Cameroon,Y2006,18611937
Cameroon,Y2007,19097676
Cameroon,Y2008,19595026
Cameroon,Y2009,20103945
Cameroon,Y2010,20624343
Cameroon,Y2011,21156272
Cameroon,Y2012,21699631
Cameroon,Y2013,22253959
Canada,Y1995,29294899
Canada,Y1996,29586368
Canada,Y1997,29866502
Canada,Y1998,30140562
Canada,Y1999,30415664
Canada,Y2000,30697425
Canada,Y2001,30986788
Canada,Y2002,31283746
Canada,Y2003,31591631
Canada,Y2004,31914080
Canada,Y2005,32253092
Canada,Y2006,32610984
Canada,Y2007,32985806
Canada,Y2008,33369898
Canada,Y2009,33752618
Canada,Y2010,34126240
Canada,Y2011,34487414
Canada,Y2012,34837978
Canada,Y2013,35181704
Cayman Islands,Y1995,31672
Cayman Islands,Y1996,33535
Cayman Islands,Y1997,35596
Cayman Islands,Y1998,37742
Cayman Islands,Y1999,39810
Cayman Islands,Y2000,41685
Cayman Islands,Y2001,43317
Cayman Islands,Y2002,44742
Cayman Islands,Y2003,46032
Cayman Islands,Y2004,47299
Cayman Islands,Y2005,48623
Cayman Islands,Y2006,50026
Cayman Islands,Y2007,51472
Cayman Islands,Y2008,52912
Cayman Islands,Y2009,54275
Cayman Islands,Y2010,55509
Cayman Islands,Y2011,56601
Cayman Islands,Y2012,57570
Cayman Islands,Y2013,58435
Central African Republic,Y1995,3275695
Central African Republic,Y1996,3350299
Central African Republic,Y1997,3424733
Central African Republic,Y1998,3498140
Central African Republic,Y1999,3569523
Central African Republic,Y2000,3638316
Central African Republic,Y2001,3704045
Central African Republic,Y2002,3767248
Central African Republic,Y2003,3829636
Central African Republic,Y2004,3893595
Central African Republic,Y2005,3960897
Central African Republic,Y2006,4032102
Central African Republic,Y2007,4106897
Central African Republic,Y2008,4185106
Central African Republic,Y2009,4266247
Central African Republic,Y2010,4349921
Central African Republic,Y2011,4436217
Central African Republic,Y2012,4525209
Central African Republic,Y2013,4616417
Chad,Y1995,6980351
Chad,Y1996,7216321
Chad,Y1997,7463347
Chad,Y1998,7724316
Chad,Y1999,8002899
Chad,Y2000,8301151
Chad,Y2001,8620917
Chad,Y2002,8959964
Chad,Y2003,9311234
Chad,Y2004,9665024
Chad,Y2005,10014413
Chad,Y2006,10356822
Chad,Y2007,10694366
Chad,Y2008,11030628
Chad,Y2009,11371325
Chad,Y2010,11720781
Chad,Y2011,12080037
Chad,Y2012,12448175
Chad,Y2013,12825314
Chile,Y1995,14440103
Chile,Y1996,14662323
Chile,Y1997,14872458
Chile,Y1998,15072409
Chile,Y1999,15265536
Chile,Y2000,15454402
Chile,Y2001,15639289
Chile,Y2002,15819522
Chile,Y2003,15995658
Chile,Y2004,16168241
Chile,Y2005,16337749
Chile,Y2006,16504530
Chile,Y2007,16668892
Chile,Y2008,16831184
Chile,Y2009,16991729
Chile,Y2010,17150760
Chile,Y2011,17308449
Chile,Y2012,17464814
Chile,Y2013,17619708
China,Y1995,1237531429
China,Y1996,1247897092
China,Y1997,1257021784
China,Y1998,1265222536
China,Y1999,1272915272
China,Y2000,1280428583
China,Y2001,1287890449
China,Y2002,1295322020
China,Y2003,1302810258
China,Y2004,1310414386
China,Y2005,1318176835
China,Y2006,1326146433
China,Y2007,1334343509
China,Y2008,1342732604
China,Y2009,1351247555
China,Y2010,1359821465
China,Y2011,1368440300
China,Y2012,1377064907
China,Y2013,1385566537
"China, Hong Kong SAR",Y1995,6144498
"China, Hong Kong SAR",Y1996,6275363
"China, Hong Kong SAR",Y1997,6430651
"China, Hong Kong SAR",Y1998,6591717
"China, Hong Kong SAR",Y1999,6732627
"China, Hong Kong SAR",Y2000,6835301
"China, Hong Kong SAR",Y2001,6892752
"China, Hong Kong SAR",Y2002,6912079
"China, Hong Kong SAR",Y2003,6906631
"China, Hong Kong SAR",Y2004,6896523
"China, Hong Kong SAR",Y2005,6896686
"China, Hong Kong SAR",Y2006,6910671
"China, Hong Kong SAR",Y2007,6934748
"China, Hong Kong SAR",Y2008,6967866
"China, Hong Kong SAR",Y2009,7006930
"China, Hong Kong SAR",Y2010,7049514
"China, Hong Kong SAR",Y2011,7096359
"China, Hong Kong SAR",Y2012,7148493
"China, Hong Kong SAR",Y2013,7203836
"China, Macao SAR",Y1995,398459
"China, Macao SAR",Y1996,405231
"China, Macao SAR",Y1997,412031
"China, Macao SAR",Y1998,418810
"China, Macao SAR",Y1999,425448
"China, Macao SAR",Y2000,431907
"China, Macao SAR",Y2001,438080
"China, Macao SAR",Y2002,444150
"China, Macao SAR",Y2003,450711
"China, Macao SAR",Y2004,458542
"China, Macao SAR",Y2005,468149
"China, Macao SAR",Y2006,479808
"China, Macao SAR",Y2007,493206
"China, Macao SAR",Y2008,507528
"China, Macao SAR",Y2009,521617
"China, Macao SAR",Y2010,534626
"China, Macao SAR",Y2011,546278
"China, Macao SAR",Y2012,556783
"China, Macao SAR",Y2013,566375
Colombia,Y1995,36573895
Colombia,Y1996,37236124
Colombia,Y1997,37901358
Colombia,Y1998,38568056
Colombia,Y1999,39234115
Colombia,Y2000,39897984
Colombia,Y2001,40558648
Colombia,Y2002,41216304
Colombia,Y2003,41872051
Colombia,Y2004,42527623
Colombia,Y2005,43184026
Colombia,Y2006,43841370
Colombia,Y2007,44498390
Colombia,Y2008,45153037
Colombia,Y2009,45802561
Colombia,Y2010,46444798
Colombia,Y2011,47078792
Colombia,Y2012,47704427
Colombia,Y2013,48321405
Comoros,Y1995,465895
Comoros,Y1996,477548
Comoros,Y1997,489627
Comoros,Y1998,502128
Comoros,Y1999,515028
Comoros,Y2000,528312
Comoros,Y2001,541976
Comoros,Y2002,556028
Comoros,Y2003,570491
Comoros,Y2004,585389
Comoros,Y2005,600733
Comoros,Y2006,616526
Comoros,Y2007,632736
Comoros,Y2008,649291
Comoros,Y2009,666097
Comoros,Y2010,683081
Comoros,Y2011,700216
Comoros,Y2012,717503
Comoros,Y2013,734917
Congo,Y1995,2720633
Congo,Y1996,2797572
Congo,Y1997,2878333
Congo,Y1998,2961357
Congo,Y1999,3044444
Congo,Y2000,3126204
Congo,Y2001,3205636
Congo,Y2002,3283719
Congo,Y2003,3363418
Congo,Y2004,3448868
Congo,Y2005,3542867
Congo,Y2006,3646653
Congo,Y2007,3758858
Congo,Y2008,3876475
Congo,Y2009,3995146
Congo,Y2010,4111715
Congo,Y2011,4225359
Congo,Y2012,4337051
Congo,Y2013,4447632
Cook Islands,Y1995,18305
Cook Islands,Y1996,18244
Cook Islands,Y1997,18093
Cook Islands,Y1998,17915
Cook Islands,Y1999,17806
Cook Islands,Y2000,17826
Cook Islands,Y2001,18003
Cook Islands,Y2002,18308
Cook Islands,Y2003,18690
Cook Islands,Y2004,19072
Cook Islands,Y2005,19399
Cook Islands,Y2006,19656
Cook Islands,Y2007,19858
Cook Islands,Y2008,20016
Cook Islands,Y2009,20153
Cook Islands,Y2010,20284
Cook Islands,Y2011,20409
Cook Islands,Y2012,20523
Cook Islands,Y2013,20629
Costa Rica,Y1995,3478197
Costa Rica,Y1996,3566605
Costa Rica,Y1997,3658020
Costa Rica,Y1998,3750585
Costa Rica,Y1999,3841734
Costa Rica,Y2000,3929588
Costa Rica,Y2001,4013488
Costa Rica,Y2002,4093840
Costa Rica,Y2003,4171145
Costa Rica,Y2004,4246336
Costa Rica,Y2005,4320130
Costa Rica,Y2006,4392493
Costa Rica,Y2007,4463226
Costa Rica,Y2008,4532711
Costa Rica,Y2009,4601424
