AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,Subprogram,InitialInterestRate,FixedOrVariableInterestInd,TermInMonths,NaicsCode,NaicsDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidInFullDate,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported,SoldSecMrktInd
12/31/2024,7A,APEX HVAC Solutions LLC,4859 RAILWAY CIR,MONROVIA,MD,21770,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,125000,106250,5/8/2024,2024,5/24/2024,PLP,Guaranty,10.75,V,120,238220,"Plumbing, Heating, and Air-Conditioning Contractors",NA,NA,FREDERICK,MD,BALTIMORE DISTRICT OFFICE,08,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,8,NA
12/31/2024,7A,Beyond Medical Staffing LLC,44330 MERCURE CIR,STERLING,VA,20166,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,200000,100000,5/8/2024,2024,5/23/2024,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,561311,Employment Placement Agencies,NA,NA,LOUDOUN,VA,WASHINGTON DISTRICT OFFICE,10,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,3,NA
12/31/2024,7A,SKAB Logistics LLC,8988 BELVOIR VIEW PL,LORTON,VA,22079,GBank,58626,None,"9115 W Russell Rd, Ste 110",LAS VEGAS,NV,89148,495900,371925,5/8/2024,2024,NA,PLP,Guaranty,11.25,V,120,484121,"General Freight Trucking, Long Distance, Truckload",NA,NA,FAIRFAX,VA,WASHINGTON DISTRICT OFFICE,08,CORPORATION,Change of Ownership,CANCLD,NA,NA,0,0,11,NA
12/31/2024,7A,TRESIS LOGISTICS LLC,8233 FOUR SISTERS LN,CHARLOTTE,NC,28215,"Wells Fargo Bank, National Association",3511,None,101 N Philips Ave,SIOUX FALLS,SD,57104,20000,10000,5/8/2024,2024,6/28/2024,SBA Express,FA$TRK (Small Loan Express),15,V,120,484121,"General Freight Trucking, Long Distance, Truckload",NA,NA,MECKLENBURG,NC,NORTH CAROLINA DISTRICT OFFICE,08,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,1,0,NA
12/31/2024,7A,Sushi Jip,3000 N. Washington Blvd. Suite,ARLINGTON,VA,22201,Hanmi Bank,24170,None,"3660 Wilshire Blvd, PH-A",LOS ANGELES,CA,90010,295000,221250,5/8/2024,2024,9/9/2024,PLP,Guaranty,10.5,V,120,722511,Full-Service Restaurants,NA,NA,ARLINGTON,VA,WASHINGTON DISTRICT OFFICE,08,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,9,Y
12/31/2024,7A,PERFECT EYEBROWS 29 WOODBRIDGE,14443 Potomac Mills Rd,Woodbridge,VA,22124,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,50000,42500,5/8/2024,2024,NA,PLP,Guaranty,15,V,120,812112,Beauty Salons,NA,NA,FAIRFAX,VA,WASHINGTON DISTRICT OFFICE,10,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,0,0,NA
12/31/2024,7A,Drip Bar Midlothian LLC,2407 COLONY CROSSING PL,MIDLOTHIAN,VA,23112,Citizens Bank,14851,None,300 Broad St,ELIZABETHTON,TN,37643,335600,251700,5/8/2024,2024,8/22/2024,PLP,Guaranty,11.25,V,124,621399,Offices of All Other Miscellaneous Health Practitioners,S4676,DRIPBaR,CHESTERFIELD,VA,RICHMOND DISTRICT OFFICE,04,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,6,NA
12/31/2024,7A,DSMETZGER INC.,98 CROWN BRIDGE PLACE,HAYESVILLE,NC,28904,Dogwood State Bank,57095,None,5401 Six Forks Rd,RALEIGH,NC,27609,35000,17500,1/23/2024,2024,2/27/2024,SBA Express,FA$TRK (Small Loan Express),10.5,V,120,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,NA,NA,CLAY,NC,NORTH CAROLINA DISTRICT OFFICE,11,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,2,NA
12/31/2024,7A,Mabe Distributors LLC,5208 MINNICK RD,LAUREL,MD,20707,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,132000,66000,1/23/2024,2024,NA,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,424490,Other Grocery and Related Products Merchant Wholesalers,NA,NA,PRINCE GEORGES,MD,WASHINGTON DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,1,3,NA
12/31/2024,7A,S and L Land Clearing and Recl,252 DRY BONE RD,WHITTIER,NC,28789,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,25000,12500,1/23/2024,2024,4/29/2024,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,238910,Site Preparation Contractors,NA,NA,JACKSON,NC,NORTH CAROLINA DISTRICT OFFICE,11,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,1,0,NA
12/31/2024,7A,GREENHILL TECHNOLOGY LLC,9841 WASHINGTONIAN BLVD,GAITHERSBURG,MD,20878,BayFirst National Bank,34997,None,700 Central Avenue,Saint Petersburg,FL,33701,890000,667500,1/23/2024,2024,2/14/2024,PLP,Guaranty,11.5,V,120,541511,Custom Computer Programming Services,NA,NA,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE,06,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,18,Y
12/31/2024,7A,UNITED SCHOOLS ASSOCIATES INC,"530 GAITHER RD, STE 350",ROCKVILLE,MD,20850,"Heritage Bank, Inc.",33119,None,1818 Florence,Burlington,KY,41005,150000,127500,1/23/2024,2024,1/26/2024,PLP,Guaranty,12.25,V,120,611699,All Other Miscellaneous Schools and Instruction,NA,NA,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE,06,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,13,Y
12/31/2024,7A,Union Market Cleaners L.L.C.,511 MORSE ST NE,WASHINGTON,DC,20002,PCB Bank,57463,None,"3701 Wilshire Blvd, Ste 900",LOS ANGELES,CA,90010,1148000,861000,6/18/2024,2024,7/9/2024,PLP,Guaranty,9.75,V,300,812320,Drycleaning and Laundry Services (except Coin-Operated),NA,NA,DISTRICT OF COLUMBIA,DC,WASHINGTON DISTRICT OFFICE,00,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,0,3,Y
12/31/2024,7A,ACTAXX LLC,12302 GREY SQUIRREL ST,CLARKSBURG,MD,20871,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,40000,20000,6/18/2024,2024,7/5/2024,SBA Express,FA$TRK (Small Loan Express),15,V,60,541219,Other Accounting Services,NA,NA,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE,06,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,1,NA
12/31/2024,7A,S & J Electrical & Communicati,6 FLATFORD CT,DURHAM,NC,27704,"Bank of America, National Association",3510,None,"100 N Tryon St, Ste 170",CHARLOTTE,NC,28202,100000,50000,6/18/2024,2024,NA,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,238210,Electrical Contractors,NA,NA,DURHAM,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,Existing or more than 2 years old,COMMIT,NA,NA,0,1,14,NA
12/31/2024,7A,ANYTIME STORAGE,401 PITTS SCHOOL RD SW,CONCORD,NC,28027,Live Oak Banking Company,58665,None,1741 Tiburon Dr,WILMINGTON,NC,28403,2125000,1593750,6/18/2024,2024,9/12/2024,PLP,Guaranty,9.15,V,312,531130,Lessors of Miniwarehouses and Self-Storage Units,NA,NA,CABARRUS,NC,NORTH CAROLINA DISTRICT OFFICE,08,PARTNERSHIP,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,10,NA
12/31/2024,7A,Hereghty Heavenly Delicious,2603 Glenwood Ave Ste 123,Raleigh,NC,27608,Truliant FCU,None,7840,3200 Truliant Way,WINSTON SALEM,NC,27103,215000,161250,6/18/2024,2024,7/23/2024,PLP,Guaranty,11.25,V,120,722513,Limited-Service Restaurants,NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,10,Y
12/31/2024,7A,Tailgating Sports LLC,5100 Jefferson Ave,NEWPORT NEWS,VA,23605,"SouthState Bank, National Association",33555,None,1101 First St South,WINTER HAVEN,FL,33880,689000,516750,6/18/2024,2024,7/2/2024,PLP,Guaranty,11.25,V,120,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,NA,NA,NEWPORT NEWS CITY,VA,RICHMOND DISTRICT OFFICE,01,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,21,Y
12/31/2024,7A,Adam Marton Tattoo LLC,318 Brook Rd,Richmond,VA,23220,First National Bank of Pennsylvania,7888,None,166 Main St,GREENVILLE,PA,16125,542800,407100,6/18/2024,2024,7/28/2024,OTH 7A,Guaranty,10,V,300,812990,All Other Personal Services,NA,NA,RICHMOND CITY,VA,RICHMOND DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,4,NA
12/31/2024,7A,EVERMORE13 LLC,156 CLAYTOR LAKE CT,WILMINGTON,NC,28401,"Wilmington Savings Fund Society, FSB",17838,None,500 Delaware Ave,WILMINGTON,DE,19801,475000,356250,6/18/2024,2024,6/28/2024,PLP,Guaranty,10.75,V,120,562111,Solid Waste Collection,S5875,Crushr,NEW HANOVER,NC,NORTH CAROLINA DISTRICT OFFICE,07,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,0,2,Y
12/31/2024,7A,True North Family Companies In,128 FURLONG INDUSTRIAL DR,KERNERSVILLE,NC,27284,Pinnacle Bank,35583,None,"150 Third Ave S, Ste 900",NASHVILLE,TN,37201,349000,261750,6/18/2024,2024,6/28/2024,PLP,Guaranty,10.75,V,126,811122,Automotive Glass Replacement Shops,S0722,Glass Doctor,FORSYTH,NC,NORTH CAROLINA DISTRICT OFFICE,06,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,4,NA
12/31/2024,7A,CrossFit HTS Carrboro,602 Jones Ferry Road Suite S,CARRBORO,NC,27510,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,50000,42500,6/18/2024,2024,6/30/2024,PLP,Guaranty,15,V,120,713940,Fitness and Recreational Sports Centers,NA,NA,ORANGE,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,Y
12/31/2024,7A,Mohamed E. Hawash Inc.,7880 Train Court,Dunn Loring,VA,22027,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,30000,25500,6/18/2024,2024,8/1/2024,PLP,Guaranty,13.25,V,120,541990,"All Other Professional, Scientific, and Technical Services",NA,NA,FAIRFAX,VA,WASHINGTON DISTRICT OFFICE,11,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,Y
12/31/2024,7A,Stand Strong Fencing 122,7646 Cotton St,HARRISBURG,NC,28075,First Bank of the Lake,26960,None,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065,258000,193500,6/18/2024,2024,7/10/2024,PLP,Guaranty,11.25,V,120,238990,All Other Specialty Trade Contractors,NA,NA,CABARRUS,NC,NORTH CAROLINA DISTRICT OFFICE,08,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,2,NA
12/31/2024,7A,Solid Contracting Inc,201 N. Front Street,Wilmington,NC,28401,"Heritage Bank, Inc.",33119,None,1818 Florence,Burlington,KY,41005,150000,127500,6/18/2024,2024,6/25/2024,OTH 7A,Guaranty,12.25,V,120,238160,Roofing Contractors,NA,NA,NEW HANOVER,NC,NORTH CAROLINA DISTRICT OFFICE,07,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,14,Y
12/31/2024,7A,Accelerated Collision Repair,3216 Asheville Rd,Waynesville,NC,28786,"SouthState Bank, National Association",33555,None,1101 First St South,WINTER HAVEN,FL,33880,300000,225000,6/18/2024,2024,6/24/2024,PLP,Guaranty,11.25,V,120,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",NA,NA,HAYWOOD,NC,NORTH CAROLINA DISTRICT OFFICE,11,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,1,Y
12/31/2024,7A,HAGERS X GAMES,61 Eastern Boulevard North,Hagerstown,MD,21740,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,75000,63750,6/18/2024,2024,7/16/2024,PLP,Guaranty,11.5,V,120,713990,All Other Amusement and Recreation Industries,NA,NA,WASHINGTON,MD,BALTIMORE DISTRICT OFFICE,06,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,2,Y
12/31/2024,7A,HEALING CHIROPRACTIC AND REHAB,481 N FREDERICK AVE,GAITHERSBURG,MD,20877,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,10000,5000,6/18/2024,2024,9/30/2024,SBA Express,FA$TRK (Small Loan Express),15,V,120,621310,Offices of Chiropractors,NA,NA,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE,06,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,7,NA
12/31/2024,7A,BERNARD BELL LLC,1301 S BENBOW RD,GREENSBORO,NC,27406,"Wells Fargo Bank, National Association",3511,None,101 N Philips Ave,SIOUX FALLS,SD,57104,25000,12500,6/18/2024,2024,11/28/2024,SBA Express,FA$TRK (Small Loan Express),14.5,V,120,611430,Professional and Management Development Training,NA,NA,GUILFORD,NC,NORTH CAROLINA DISTRICT OFFICE,06,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,1,1,NA
12/31/2024,7A,MARSTON AUDIOLOGY GROUP PLLC,1525 APEX PEAKWAY STE 105,APEX,NC,27502,Stearns Bank National Association,10988,None,4191 2nd St South,SAINT CLOUD,MN,56301,180000,135000,6/18/2024,2024,7/3/2024,PLP,Guaranty,11.5,V,126,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,2,NA
12/31/2024,7A,Wasabi Asian Cuisine Inc.,200 Linden Square Drive # 15,Bristol,VA,24202,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,500000,375000,5/17/2024,2024,5/24/2024,PLP,Guaranty,11.5,V,120,722511,Full-Service Restaurants,NA,NA,WASHINGTON,VA,RICHMOND DISTRICT OFFICE,09,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,25,Y
12/31/2024,7A,Designer Holdings LLC,13364A CLARKSVILLE PIKE,HIGHLAND,MD,20777,Stearns Bank National Association,10988,None,4191 2nd St South,SAINT CLOUD,MN,56301,400000,300000,5/17/2024,2024,6/24/2024,PLP,Guaranty,9,V,300,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",NA,NA,HOWARD,MD,BALTIMORE DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,2,NA
12/31/2024,7A,Sandhills Computers,180 Pinelands Vis,Jackson Springs,NC,27281,"Carolina Community Impact, Inc.",None,None,"3725 National Drive, Suite 160",Raleigh,NC,27612,90000,76500,5/17/2024,2024,7/31/2024,OTH 7A,Guaranty,13.75,F,120,541511,Custom Computer Programming Services,NA,NA,MOORE,NC,NORTH CAROLINA DISTRICT OFFICE,08,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,3,NA
12/31/2024,7A,Legacy Funeral Home,320 MAIN ST,RAEFORD,NC,28376,Live Oak Banking Company,58665,None,1741 Tiburon Dr,WILMINGTON,NC,28403,1210000,907500,5/17/2024,2024,6/28/2024,PLP,Guaranty,9.4,V,312,812210,Funeral Homes and Funeral Services,NA,NA,HOKE,NC,NORTH CAROLINA DISTRICT OFFICE,09,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,9,NA
12/31/2024,7A,ETN NETWORK SOLUTIONS LLC,6529 Running Cedar Lane,MANASSAS,VA,20112,Celtic Bank Corporation,57056,None,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111,87500,74375,5/17/2024,2024,5/21/2024,PLP,Guaranty,11.25,V,120,541512,Computer Systems Design Services,NA,NA,PRINCE WILLIAM,VA,RICHMOND DISTRICT OFFICE,01,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,3,Y
12/31/2024,7A,GOLDEN CHIPS FRENCH QUARTER LL,1800 Hendersonville Rd Ste 11,Asheville,NC,28803,Northeast Bank,19690,None,35 Canal St,LEWISTON,ME,04240,41400,35190,5/17/2024,2024,5/31/2024,PLP,Guaranty,11.25,V,120,722513,Limited-Service Restaurants,NA,NA,BUNCOMBE,NC,NORTH CAROLINA DISTRICT OFFICE,11,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,2,Y
12/31/2024,7A,The Breastfeeding Den LLC,2 HAMILL RD,BALTIMORE,MD,21210,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,65000,32500,5/17/2024,2024,NA,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,621399,Offices of All Other Miscellaneous Health Practitioners,NA,NA,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,1,9,NA
12/31/2024,7A,Foundations Spa LLC,2640 Willard Dairy Road Suite,HIGH POINT,NC,27265,Bank of Oak Ridge,35365,None,2211 Oak Ridge Rd,OAK RIDGE,NC,27310,219000,164250,5/17/2024,2024,6/5/2024,PLP,Guaranty,10.5,V,120,812199,Other Personal Care Services,NA,NA,GUILFORD,NC,NORTH CAROLINA DISTRICT OFFICE,06,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,5,NA
12/31/2024,7A,Red Fox Strategies LLC,4106 Plaza Lane,FAIRFAX,VA,22033,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,50000,42500,5/17/2024,2024,NA,PLP,Guaranty,15,V,120,561499,All Other Business Support Services,NA,NA,FAIRFAX,VA,WASHINGTON DISTRICT OFFICE,10,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,0,3,NA
12/31/2024,7A,NASCENT HOLDINGS LLC,1125 WEST ST,ANNAPOLIS,MD,21401,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,20000,10000,5/17/2024,2024,6/30/2024,SBA Express,FA$TRK (Small Loan Express),15,V,120,541611,Administrative Management and General Management Consulting Services,NA,NA,ANNE ARUNDEL,MD,BALTIMORE DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,0,NA
12/31/2024,7A,ULTIMATE CUTS,7589 Herndon road,Herndon,WV,24726,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,20000,17000,6/14/2024,2024,7/1/2024,PLP,Guaranty,15,V,120,812112,Beauty Salons,NA,NA,WYOMING,WV,WEST VIRGINIA DISTRICT OFFICE,03,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,2,Y
12/31/2024,7A,OBM JANITORIAL LLC,740 E CHATHAM ST STE F,CARY,NC,27511,"Wells Fargo Bank, National Association",3511,None,101 N Philips Ave,SIOUX FALLS,SD,57104,20000,10000,6/14/2024,2024,NA,SBA Express,FA$TRK (Small Loan Express),14.5,V,120,561720,Janitorial Services,NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,New Business or 2 years or less,COMMIT,NA,NA,0,1,20,NA
12/31/2024,7A,Thompson Logging LLC,944 Okeewemee Star Rd,Star,NC,27356,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,1300000,975000,6/14/2024,2024,NA,PLP,Guaranty,11.5,V,129,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",NA,NA,MONTGOMERY,NC,NORTH CAROLINA DISTRICT OFFICE,08,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,0,11,NA
12/31/2024,7A,TMS Industrial Welding LLC,1605 Glenville Rd,Havre De Grace,MD,21078,"Bank of America, National Association",3510,None,"100 N Tryon St, Ste 170",CHARLOTTE,NC,28202,100000,50000,6/14/2024,2024,10/24/2024,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,238220,"Plumbing, Heating, and Air-Conditioning Contractors",NA,NA,HARFORD,MD,BALTIMORE DISTRICT OFFICE,01,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,24,NA
